IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.229.221,4,4,0.00,75.21,0.00
141.101.121.29,4,4,0.00,160.85,0.00
104.18.77.52,4,4,0.00,160.99,0.00
162.159.207.225,4,4,0.00,161.12,0.00
104.19.0.82,4,4,0.00,162.24,0.00
104.18.193.119,4,4,0.00,162.25,0.00
104.18.40.44,4,4,0.00,162.49,0.00
104.19.48.239,4,4,0.00,162.49,0.00
104.19.57.138,4,4,0.00,162.99,0.00
104.17.193.43,4,4,0.00,163.23,0.00
104.21.237.156,4,4,0.00,163.73,0.00
104.21.235.234,4,4,0.00,163.74,0.00
104.17.24.32,4,4,0.00,163.76,0.00
104.19.79.35,4,4,0.00,163.99,0.00
104.16.5.57,4,4,0.00,164.02,0.00
198.41.218.107,4,4,0.00,164.18,0.00
104.16.211.26,4,4,0.00,164.24,0.00
104.16.196.134,4,4,0.00,164.49,0.00
104.19.95.90,4,4,0.00,164.50,0.00
